日期,景德镇,哈尔滨,淄博,洛阳,杭州,佛山,天水,哀牢山,开封
2022-01-02,10675.5,84373.0,4135.5,2512940.0,160222.0,93544.5,5740.5,2457.0,657127.0
2022-01-09,4266.86,25365.29,12535.86,850447.14,171930.57,45104.29,6026.86,2699.29,1886573.86
2022-01-16,63657.14,43878.14,17607.57,401914.14,101504.29,35137.29,7019.29,7330.14,669943.0
2022-01-23,10310.71,41163.14,21796.43,336969.71,159816.14,59387.0,5161.14,13834.0,626663.71
2022-01-30,2596.29,56410.29,15673.57,497808.43,561859.71,41509.29,8110.29,6854.86,332199.14
2022-02-06,4196.0,64442.14,19679.71,257707.43,242781.0,34548.71,2361.14,399.71,221607.57
2022-02-13,668.71,49485.0,22271.29,339276.71,261065.29,21068.43,3713.14,3901.57,208313.0
2022-02-20,112987.57,26918.0,29653.57,369517.29,477255.14,42761.0,9639.57,1333.71,681410.86
2022-02-27,10347.43,42791.43,10708.14,304072.86,268600.0,44600.14,44359.0,337.86,548235.29
2022-03-06,2263.0,138905.57,17104.29,273624.71,114145.71,49105.71,9246.14,323.57,284074.29
2022-03-13,905.0,118891.71,71897.14,346550.71,127232.71,76808.0,4698.43,437.43,276033.86
2022-03-20,534.86,30866.43,69703.43,206514.14,211087.71,36520.0,19642.0,501.0,430805.57
2022-03-27,662.71,27437.14,49656.0,239445.57,165351.0,17008.86,6896.86,659.43,155424.57
2022-04-03,196.14,90645.0,28690.86,345603.86,166563.29,24340.0,5789.86,1302.57,144799.57
2022-04-10,488.71,40274.71,6995.71,245432.14,154648.86,21116.14,4694.71,759.14,264556.14
2022-04-17,802.29,32824.0,3561.29,313177.71,199233.0,17908.14,17401.29,123043.0,285145.86
2022-04-24,2783.0,44221.43,12232.57,309509.43,132761.0,23538.57,19203.29,1402.71,263436.43
2022-05-01,2169.71,91633.14,31836.71,397554.14,227421.71,99057.29,119060.0,14369.14,294655.71
2022-05-08,1515.14,24006.14,26409.57,404439.0,415066.43,140435.43,9903.71,71.43,578897.29
2022-05-15,17400.14,502036.71,27560.29,306757.0,243018.57,66704.43,12494.57,2080.29,418893.43
2022-05-22,14589.29,44058.86,19262.29,421609.29,421167.29,25035.86,9439.71,3425.71,320578.86
2022-05-29,19359.86,34057.43,6634.29,237303.0,191098.43,35738.86,5580.86,406.71,148586.86
2022-06-05,3254.57,26513.29,14399.29,583910.0,178687.43,74436.71,5332.29,2393.57,133619.71
2022-06-12,3464.14,30910.29,4351.29,228930.0,122285.0,65677.86,9495.71,957.71,150146.14
2022-06-19,11259.57,110178.57,30743.14,232999.86,187061.0,16168.86,17620.0,536.43,236225.43
2022-06-26,16406.29,30751.71,13792.14,242313.43,95642.86,72691.29,7527.57,26.86,691742.29
2022-07-03,3530.86,33899.29,14053.14,283616.71,156133.14,91976.43,51403.86,27.14,474835.14
2022-07-10,844.71,25344.14,11848.57,336232.43,1032771.14,25552.57,1765.29,819.86,267547.0
2022-07-17,3482.0,33067.71,15441.71,345363.14,132204.86,19430.0,6001.43,336.0,118958.71
2022-07-24,1192.57,23068.57,7596.0,149446.86,142284.57,19418.57,9206.14,251.29,122517.86
2022-07-31,2537.86,60083.14,9153.71,412600.71,100239.14,21666.0,9622.29,935.43,241360.57
2022-08-07,2057.57,33534.86,9822.14,142810.14,218181.71,38855.57,7683.43,1451.86,237211.71
2022-08-14,1391.57,189379.57,10672.14,179145.0,301853.57,44316.43,1460.0,127.71,79773.14
2022-08-21,2211.57,22514.0,8389.29,214371.57,326473.57,105824.43,33838.57,2636.86,70761.0
2022-08-28,2489.0,34065.0,22027.43,210113.71,201703.29,31176.43,11733.57,185.43,96236.0
2022-09-04,1533.14,133606.86,15999.86,122921.0,133638.57,17085.57,1947.71,444.43,132539.86
2022-09-11,1938.86,91215.43,20202.43,142155.57,76600.86,7221.29,15032.14,1691.57,117467.43
2022-09-18,2841.71,81389.57,102915.14,407834.86,361066.86,71554.71,27814.71,6259.0,213941.57
2022-09-25,8095.86,111249.57,244085.29,382259.29,552543.86,89717.29,24423.0,8600.71,556772.57
2022-10-02,5226.0,220386.43,148953.71,444464.86,627106.43,59993.0,38567.71,3556.43,770607.86
2022-10-09,648.14,148584.0,155415.71,442368.71,542122.86,163714.57,78087.57,8044.29,391627.57
2022-10-16,506.14,111113.14,73951.14,246769.57,437038.57,228085.57,64230.71,13862.71,859158.0
2022-10-23,47064.43,76536.43,41434.29,311583.57,367873.43,515984.29,51384.57,20083.57,195871.29
2022-10-30,13374.29,103251.14,244981.14,555739.57,460600.71,117772.71,26029.0,13716.86,679319.71
2022-11-06,1882.43,78563.29,45522.14,266794.57,387630.43,156065.14,28657.57,7134.29,400092.0
2022-11-13,31091.0,640253.57,812597.14,591105.43,7097709.71,248384.43,64116.86,11197.86,329504.43
2022-11-20,103891.86,2582266.57,624014.86,1086779.57,3294066.71,450638.71,151853.14,29156.0,1100789.57
2022-11-27,95552.29,1024291.57,139364.14,586069.57,5113488.57,3112153.86,206804.29,20399.29,464176.43
2022-12-04,144985.14,1636413.14,296687.43,671284.0,4476169.43,450477.86,40236.14,14231.29,453335.14
2022-12-11,119646.57,781107.14,157671.86,566360.57,3444572.0,351696.0,23577.43,5273.86,1276193.14
2022-12-18,108997.14,2066384.43,166214.57,465745.86,4721958.86,366115.71,23658.14,12503.57,436557.86
2022-12-25,33467.86,1247137.71,116977.43,359132.43,5874802.71,342149.71,45498.0,41841.29,1879114.71
2023-01-01,37031.86,771731.0,120286.71,630590.57,3509322.57,541325.57,53146.43,5443.29,420746.43
2023-01-08,38448.43,954818.71,200826.14,432656.14,2784934.71,401500.57,83811.29,2987.0,964765.29
2023-01-15,61706.43,1211024.0,97271.57,906843.43,3573063.57,409608.86,47126.0,3935.43,297915.0
2023-01-22,27866.57,566742.14,174864.0,565854.0,2368745.29,303387.43,15787.43,6280.71,382402.14
2023-01-29,23261.0,412693.43,107102.0,224602.43,832790.29,229762.86,11733.29,2710.86,1721938.57
2023-02-05,25774.29,197368.71,117394.71,211720.29,1231624.43,122793.71,37116.43,3262.14,232571.0
2023-02-12,25196.43,142160.29,56475.43,316129.71,646789.0,177993.14,23805.71,4532.71,217364.29
2023-02-19,7189.0,182278.57,54049.71,290303.14,422786.14,131086.29,18747.14,3332.14,151524.14
2023-02-26,4968.29,140075.29,44940.29,303237.14,482832.57,151187.57,14593.71,40893.43,187877.0
2023-03-05,5388.57,110341.86,58003.43,375876.0,411411.0,72913.86,12031.43,83808.0,235065.71
2023-03-12,2971.0,85948.14,53300.71,250569.57,437954.86,100541.71,10223.29,17659.71,209718.29
2023-03-19,2827.71,66781.43,201582.43,287939.0,504758.14,98716.0,10173.14,18886.14,172145.57
2023-03-26,1827.43,747314.57,112396.43,363262.43,571277.71,134231.0,14832.86,6265.29,410099.43
2023-04-02,7116.43,116636.86,170850.43,459182.0,462199.86,202209.43,14195.57,9122.57,145680.0
2023-04-09,7325.0,143522.86,160757.57,346615.29,497579.0,293978.71,10964.71,9789.86,183747.29
2023-04-16,8659.29,132416.29,1258296.43,528354.29,1283516.86,175768.71,298059.0,3032.86,290830.71
2023-04-23,17760.29,181838.0,3563657.86,954977.43,933054.86,271028.43,235714.43,7088.0,197197.86
2023-04-30,63701.86,205088.43,10195864.29,797328.43,3832026.0,206183.0,119833.14,12468.14,158456.43
2023-05-07,47004.29,2998177.86,13969149.0,787530.71,5251254.86,159049.0,46374.29,75213.57,218839.14
2023-05-14,16523.71,203455.86,2327040.57,596917.43,711255.43,91205.86,43764.29,12142.86,278513.86
2023-05-21,6115.14,352617.86,1395681.43,440629.71,616233.43,116306.0,34920.0,3142.86,203921.29
2023-05-28,3238.71,566372.57,1143604.57,323276.43,810501.14,199176.86,53018.86,3806.57,191075.71
2023-06-04,2335.0,181346.86,793098.14,357568.86,799922.14,152198.57,66527.14,5593.14,225053.29
2023-06-11,4854.0,215432.14,519666.0,419132.71,565280.29,141844.29,44670.71,10433.71,176025.29
2023-06-18,9613.71,431504.71,323468.0,301577.29,836993.86,189151.43,30836.14,1374.43,198967.14
2023-06-25,1065.57,1764029.43,705009.86,387170.43,635715.57,3337500.14,57640.0,4031.43,391271.14
2023-07-02,24310.71,259731.71,476892.86,423185.0,948540.71,169262.57,53744.29,4909.86,192656.0
2023-07-09,1545.57,266077.0,522699.71,605337.14,659079.57,114108.0,49695.71,2326.57,290986.86
2023-07-16,6803.0,362919.29,388460.57,637848.43,846131.43,440872.71,36643.86,4658.14,293617.86
2023-07-23,22580.29,249384.57,403434.57,610179.86,4851945.71,357280.0,40192.57,5617.71,181850.29
2023-07-30,5422.57,356328.57,1704105.0,448019.0,869061.71,183092.57,29998.29,4025.43,228833.0
2023-08-06,2159.0,858673.43,419913.57,685362.57,771696.71,136788.29,28840.14,3207.57,310344.29
2023-08-13,28960.0,356945.14,696764.86,460779.71,1169778.71,188901.0,29689.86,8253.14,205195.0
2023-08-20,114838.29,255240.86,455118.86,659856.71,1034016.86,180198.57,45150.43,9268.0,229177.43
2023-08-27,30886.29,257102.14,321380.14,624787.71,901147.71,167809.71,490143.29,32500.0,176162.14
2023-09-03,16352.0,248921.0,558543.29,406342.43,1074243.14,117619.29,50165.14,4978.0,167400.43
2023-09-10,8431.86,244710.14,320326.0,503093.43,2246004.86,126258.14,31936.14,19124.14,165205.0
2023-09-17,1764.57,390018.43,443945.57,432401.0,2008267.57,142383.71,15807.86,7989.57,134072.29
2023-09-24,10050.71,183750.14,487537.43,374649.29,16776878.71,131647.86,14427.86,6612.14,148078.14
2023-10-01,50295.71,404581.0,3371810.0,1947970.29,5520600.14,131833.57,18797.43,9808.57,196123.29
2023-10-08,34902.86,304100.86,259545.29,2054387.29,9905531.43,157607.14,29608.43,10918.43,511210.86
2023-10-15,26599.29,301819.43,168839.29,461376.43,1967852.29,206099.57,28875.29,9574.29,288693.43
2023-10-22,37658.57,256079.86,149969.29,337977.43,973297.86,312139.57,24704.71,14492.43,309494.14
2023-10-29,19537.86,220158.43,238179.14,368712.43,808829.29,129153.57,21905.0,7279.0,506516.29
2023-11-05,52961.86,262243.0,219381.14,414066.71,740683.86,139631.14,14312.43,27983.43,373770.57
2023-11-12,14288.43,762642.86,976603.71,317075.43,776248.29,184262.71,15815.14,49866.43,309708.29
2023-11-19,21522.57,348156.0,353206.86,332697.14,665669.86,167260.0,16708.43,42334.14,212023.0
2023-11-26,7348.86,347201.29,238577.14,384647.0,1254514.71,293037.14,17705.0,20929.43,375315.29
2023-12-03,14718.71,650948.57,336171.71,318637.14,1082883.57,171052.0,32267.43,13846.43,536175.0
2023-12-10,19137.71,670933.86,231646.43,398143.86,716314.29,303632.57,55098.29,74097.71,394556.43
2023-12-17,27506.71,922297.29,237986.57,480209.86,788950.14,268952.0,33005.43,19443.86,448247.57
2023-12-24,37761.43,2148035.0,839324.57,352282.86,860668.86,172998.57,35155.29,15280.29,238381.43
2023-12-31,20636.29,7897631.29,323510.14,486846.86,928283.57,216590.57,61326.71,17871.29,350290.29
2024-01-07,18195.29,17412625.29,865928.43,377402.43,721857.57,177845.71,39872.43,15772.14,244475.86
2024-01-14,42929.71,12249735.0,654825.71,730190.14,901495.0,151559.57,38120.14,18502.71,274718.29
2024-01-21,41159.57,9680299.86,727466.0,812478.0,991257.14,168667.43,61273.57,36882.0,600588.43
2024-01-28,58612.29,3253369.71,195996.14,831551.71,789981.43,217685.71,33134.57,16047.86,326033.29
2024-02-04,308700.71,2539180.43,285298.57,496566.0,812888.86,184009.14,32903.86,12312.86,287250.0
2024-02-11,121879.43,1715249.71,381773.14,1134941.71,926906.86,752492.29,47172.86,22855.57,254219.29
2024-02-18,301096.86,3274992.0,1854504.57,1731701.57,3302993.57,193877.71,43904.29,35067.43,1138322.0
2024-02-25,272514.71,1184014.86,1424381.86,1376151.86,1461961.86,411241.86,71670.14,13776.0,513936.29
2024-03-03,87566.14,849277.71,225566.0,689702.86,3747508.86,197789.71,41828.29,18746.57,403648.71
2024-03-10,48894.86,555860.57,165051.43,659557.86,1130719.57,156386.43,29320.57,23477.14,200501.57
2024-03-17,50250.0,468653.57,440491.29,561461.43,1154750.14,145076.57,1488087.43,48370.0,792267.29
2024-03-24,96919.43,435237.0,529337.71,412776.0,1145818.86,171165.0,955718.57,45666.0,2277526.14
2024-03-31,104258.86,448993.57,623107.57,491765.86,1219858.86,208845.29,603800.29,33265.71,3855814.43
2024-04-07,187307.14,389538.29,3180941.43,695248.43,1210261.29,261344.57,2189575.14,20122.43,2976942.29
2024-04-14,198962.29,349480.29,742342.71,851409.43,898973.86,229652.71,294296.43,24610.29,842696.86
2024-04-21,145720.71,440998.14,442368.71,613786.86,961351.86,247097.43,187338.86,127534.29,616788.57
2024-04-28,75019.86,826227.0,288473.14,689227.71,1025101.86,369045.86,169199.57,36962.86,558003.57
2024-05-05,104675.71,1529998.14,1279124.29,942292.29,1944806.86,303294.0,281443.14,111357.57,1241614.86
2024-05-12,218074.43,928187.71,616766.86,579344.14,1279614.86,207869.57,130931.43,102878.57,551084.57
2024-05-19,118901.57,871355.57,341598.57,601268.86,1225961.29,260159.29,88619.57,67785.57,283140.14
2024-05-26,175071.43,574918.43,337583.14,436066.43,839263.14,210386.43,89562.14,83319.14,288937.86
2024-06-02,103145.0,460723.14,299277.29,437855.0,743234.71,225038.29,94301.43,56507.0,304232.29
2024-06-09,93046.0,1020899.29,350571.29,468812.14,1749321.71,871833.43,78595.0,49187.86,545785.86
2024-06-16,45076.71,473752.86,253090.57,774705.43,1258219.14,812786.57,118126.86,22740.57,417750.43
2024-06-23,78173.29,364048.86,192788.29,550011.14,1273073.14,461608.0,112671.57,26025.14,338850.14
2024-06-30,63441.29,440278.14,233716.0,611780.29,1597400.14,486741.71,138722.0,28717.57,379278.43
2024-07-07,214975.0,673830.29,244274.43,661142.43,1387146.29,434721.14,85800.86,27789.14,456580.71
2024-07-14,211260.29,479691.71,197712.43,557376.43,1309169.0,339205.0,83490.57,86595.86,568089.43
2024-07-21,308453.14,495602.14,227948.43,864778.29,1629010.29,280351.0,85147.71,92670.43,379926.43
2024-07-28,438102.0,533911.0,186877.14,884531.14,1527321.14,217012.86,89743.29,80965.29,374428.57
2024-08-04,404182.71,888949.86,207906.29,600851.43,2288591.71,239714.43,86786.71,113112.86,550983.14
2024-08-11,217111.71,508090.0,201054.57,527856.57,1483040.86,307035.0,71770.71,81172.86,460119.43
2024-08-18,536503.43,569320.0,203237.14,590697.14,1494878.86,340744.29,93859.71,63443.0,452188.86
2024-08-25,354767.71,571207.43,229603.14,623489.29,1790432.43,236842.29,132183.71,91173.57,426924.86
2024-09-01,240465.57,503581.0,448890.0,523643.57,1329569.29,772671.14,90523.43,59388.86,967917.29
2024-09-08,196335.0,451382.86,428886.29,548012.71,1123489.29,298686.71,63852.71,41698.71,401402.29
2024-09-15,167945.29,466304.86,292790.86,560998.43,1026118.14,210345.71,68484.0,61707.14,396039.86
2024-09-22,167597.0,481867.14,420365.14,840275.86,2751191.86,306419.14,88094.86,85344.29,445737.29
2024-09-29,1977381.71,535875.14,325306.57,669343.14,1165419.0,256196.29,78059.57,97882.71,512614.29
2024-10-06,371339.57,575403.71,603884.86,1003121.71,1181098.57,249838.57,117419.86,9513407.29,706883.57
2024-10-13,381779.57,457271.0,428573.29,756834.71,1419006.57,261763.43,101260.0,12294831.43,610708.43
2024-10-20,212693.86,352878.57,261649.0,605817.0,1009586.86,289505.29,82194.43,1407558.29,483685.71
2024-10-27,258728.43,492847.43,394418.86,580889.0,1009418.57,376329.29,64388.86,1673450.14,661496.0
2024-11-03,165148.86,413104.57,233623.29,488082.0,913188.86,329191.86,59735.0,927368.14,990633.29
2024-11-10,117399.71,795253.71,209005.71,1309075.29,830727.71,269895.29,68569.57,490549.71,4566942.43
2024-11-17,223108.43,923245.29,351179.86,551175.86,933702.14,298395.29,112136.43,438937.71,1821606.29
2024-11-24,86128.14,943462.57,343496.43,612867.14,940945.0,256362.14,120953.71,422300.71,413383.86
2024-12-01,101696.14,1569634.71,234242.43,539382.14,898595.57,259786.0,88313.71,343754.0,293594.0
2024-12-08,98585.0,1351100.29,218641.57,466347.57,748980.0,194767.86,83034.86,338076.0,190111.71
2024-12-15,140519.57,2404921.71,210060.29,419496.71,714235.29,214181.0,56574.57,289965.29,259336.0
2024-12-22,152992.14,5936331.29,217716.57,414645.43,695811.29,194443.86,67790.71,284103.14,292415.29
2024-12-29,181709.57,6080299.86,178593.29,345853.14,967872.14,184791.0,62436.29,320323.0,296808.57
2025-01-05,120680.57,2942624.57,192466.43,341819.43,1617090.43,209357.57,51153.29,275607.29,324198.0
2025-01-12,108351.57,2968817.14,285111.0,376636.29,800866.86,207358.86,70733.57,235279.14,273623.0
2025-01-19,82965.29,2419347.0,197056.29,433453.86,896903.86,250397.0,42950.29,182572.0,330987.86
2025-01-26,188310.57,936422.43,206476.71,423543.57,803181.29,284345.71,41681.29,156755.71,483040.29
2025-02-02,292690.29,855454.29,156656.14,840202.86,1063613.43,301094.86,55264.14,188590.29,1474154.43
2025-02-09,254790.0,1914297.0,236679.86,884721.86,881559.43,378416.43,1073099.57,144668.0,1860749.29
2025-02-16,117402.14,1245866.71,161377.57,525773.57,873526.43,407555.57,128091.57,273238.57,730697.86
2025-02-23,65012.43,715198.86,232595.43,572204.0,1161557.14,285077.71,51339.29,120447.29,193312.43
2025-03-02,92318.57,653667.43,318010.71,362957.14,840330.0,177962.43,42388.29,109287.43,254968.71
2025-03-09,40409.43,525343.14,265486.86,365233.14,1041611.14,278802.0,51082.71,142384.57,318562.29
2025-03-16,86304.29,426605.86,191527.71,419409.71,853852.57,447026.71,42243.57,141316.57,233516.71
2025-03-23,108088.57,303133.14,187976.57,438242.43,896872.43,271053.57,38472.57,163345.29,158244.14
2025-03-30,90455.0,251748.86,587534.14,386428.43,1332360.29,153218.57,34865.0,378756.43,205464.71
2025-04-06,149894.86,296016.0,179218.57,485418.57,1854784.71,151525.71,31644.86,234750.29,505203.43
2025-04-13,76115.29,299729.14,256471.29,584699.86,919126.71,227506.43,67852.43,264745.43,238762.14
2025-04-20,70208.71,250919.86,149732.0,495428.43,931306.14,179238.29,46778.57,139399.14,297717.0
2025-04-27,51045.57,260056.0,153848.86,506488.43,936647.0,157960.43,60012.86,113784.14,270827.14
2025-05-04,72028.86,376984.43,230831.43,670747.57,4082841.29,221045.71,39563.43,168993.57,511038.57
2025-05-11,108974.0,234943.43,268250.57,767194.57,2885224.43,143392.86,35722.43,246307.71,418852.43
2025-05-18,49827.86,213998.86,141370.29,294424.57,837437.86,111294.71,36246.86,120641.14,162968.14
2025-05-25,53422.71,216501.86,400165.29,408085.86,930459.43,141786.14,79851.71,141557.0,384484.86
2025-06-01,77202.57,224434.43,256648.14,380696.71,3515427.14,1117413.43,24872.71,143280.29,294724.57
2025-06-08,81473.86,327320.86,158173.86,403760.43,746332.71,243322.86,28401.86,234133.86,227440.71
2025-06-15,131681.86,467237.71,190145.86,392856.57,1234573.0,212387.0,35318.29,286461.43,276223.14
2025-06-22,253474.57,230634.86,136258.86,626274.57,1268333.43,203510.29,53842.29,250191.43,292879.71
2025-06-29,123552.71,306405.0,171106.57,504003.29,651747.0,231646.43,70507.0,362987.43,660795.86
2025-07-06,119651.14,239896.0,165868.0,420118.14,627007.43,249790.14,63092.0,383233.14,303752.43
2025-07-13,147640.43,344792.57,123787.71,360305.29,621380.86,212428.57,248603.86,351988.86,249081.71
2025-07-20,184744.29,271413.86,308520.86,396231.14,1377084.57,174874.29,110523.86,676390.71,253163.14
2025-07-27,3482930.71,245957.14,105911.43,544274.86,1491132.86,233628.0,71569.0,897562.14,1072405.86
2025-08-03,2843737.43,338304.57,264554.57,469621.86,842687.71,171307.57,45685.57,2868924.0,667261.71
2025-08-10,2657162.71,297063.57,383008.71,403336.14,702798.57,104721.57,87735.86,509490.71,318552.57
2025-08-17,3796882.43,455195.71,200294.57,429000.57,681681.57,119201.0,44845.29,347785.29,443315.43
2025-08-24,3171073.29,344743.86,221911.14,450635.0,1329472.29,126697.86,46568.43,295245.0,1052181.29
2025-08-31,1693479.86,432355.71,146280.43,318070.29,722147.0,128494.57,28808.14,254722.57,633025.43
2025-09-07,1190500.57,344559.71,71536.14,393446.14,920800.71,85266.71,151212.14,125360.14,417129.14
2025-09-14,1754191.71,460914.86,102174.71,321756.43,1081255.43,166581.71,41098.57,152697.57,324359.43
2025-09-21,3320454.29,284670.29,254339.71,401867.29,606817.71,110453.57,39809.29,350060.43,229626.86
2025-09-28,1123672.86,458736.71,229253.14,483476.57,608686.43,127000.57,35623.29,221718.29,162569.0
2025-10-05,2681043.0,738121.29,97630.71,514090.43,833735.29,163523.14,45353.86,459532.29,951833.57
2025-10-12,2544541.29,285305.86,91777.71,484322.29,819620.71,176656.0,38480.86,427770.43,642372.71
2025-10-19,2180943.29,896485.86,77377.14,465401.0,903388.14,99215.71,40174.57,237709.29,210068.71
2025-10-26,1078950.86,394091.0,104956.43,551237.57,514957.29,104007.14,31720.71,156302.86,393884.14
2025-11-02,680699.57,504131.57,106904.29,312391.29,596641.14,398690.86,34747.14,467568.29,732730.0
2025-11-09,610122.43,559794.14,160033.14,358119.71,737475.43,138997.43,45718.86,248377.86,219934.29
2025-11-16,1171366.57,430921.29,259214.43,941481.86,517334.57,154672.71,36953.14,421164.86,400079.57
2025-11-23,2177867.14,692061.29,120838.29,507615.71,728212.14,131153.71,26311.29,270183.86,166872.14
2025-11-30,2956898.86,665379.29,129630.57,400623.14,398724.29,201219.86,23211.14,291170.0,231702.57
2025-12-07,1756379.57,851345.0,85903.57,330798.29,734154.29,137582.71,23850.29,322352.71,245139.29
2025-12-14,1885681.43,979216.71,89969.71,306405.0,455132.14,226762.71,25707.0,283611.43,599913.57
2025-12-21,1294398.0,1973531.43,83426.29,293884.29,326777.86,132955.0,20689.0,276725.29,236548.86
2025-12-28,1454030.57,1663195.0,96102.43,319750.86,442480.0,215768.14,28942.57,113288.71,161815.14
2026-01-04,2129212.5,832568.0,100983.0,285570.5,398027.0,155345.5,51433.0,102695.5,191041.5
